NO,Department,Degree,Course Number,Section,Course Title,Instructor,Classification,Course Type,Theory/Lab,Course Category,Course Fields,Course Areas,Track,Degree Classification,Grade Method,Credit,Theo,Lab,Code Share,Delivered in English,Day/Time/Class Room,Prerequisite Course,Remarks
172,School of Undergraduate Studies,ALL,TP101,01,Design Thinking - Design Thinking,"Park, Jong Rae",Advanced compulsory course,Course Study,Theory,Advanced,Major,Non-Track/Convergence,,,Grade,3.0,3.0,0.0,N,N,Mon09:00-12:00(E7 - 237),,
173,School of Undergraduate Studies,ALL,TP202,01,Introduction to Urban Air Mobility - Introduction to Urban Air Mobility,"In, Su Il",Advanced compulsory course,Course Study,Theory,Advanced,Major,Non-Track/Convergence,,"Bachelor of Science, Bachelor of Engineering",Grade,3.0,3.0,0.0,N,Y,Mon16:00-19:00(E7 - G03),,신규개설
174,School of Undergraduate Studies,ALL,TP301,01,Communication and Modern Society - Communication and Modern Society,"Cho, Sung-kyum ",Advanced compulsory course,Course Study,Theory,Advanced,Major,Non-Track/Convergence,,,Grade,3.0,3.0,0.0,N,N,Fri09:00-12:00(E7 - L31),,
175,School of Undergraduate Studies,ALL,TP305,01,Game Theory - Game Theory,"Kim, Son-ku",Advanced compulsory course,Course Study,Theory,Advanced,Major,Non-Track/Convergence,,,Grade,3.0,3.0,0.0,N,N,Wed14:30-17:30(E7 - L31),,
176,School of Undergraduate Studies,ALL,TP307a,01,User experience design - User experience design,"Park, Jong Rae",Advanced compulsory course,Course Study,Theory,Advanced,Major,Non-Track/Convergence,,,Grade,3.0,3.0,0.0,N,N,Wed10:30-13:30(E7 - 237),,
177,School of Undergraduate Studies,ALL,TP308,01,Integrative understanding of life - Integrative understanding of life,"Nam, Chang Hoon",Advanced compulsory course,Course Study,Theory,Advanced,Major,Non-Track/Convergence,,,Grade,3.0,3.0,0.0,N,N,Tue09:00-12:00(E7 - G02),,
178,School of Undergraduate Studies,ALL,TP309,01,Introduction to Mathematical Analysis for the Undergraduate - Introduction to Mathematical Analysis for the Undergraduate,"Ahn, Heung Ju",Advanced compulsory course,Course Study,Theory,Advanced,Major,Non-Track/Convergence,,,Grade,3.0,3.0,0.0,N,Y,"Tue09:00-10:30(E7 - 223), Thu09:00-10:30(E7 - 223)",,
179,School of Undergraduate Studies,ALL,TP310,01,Modern Algebra - Modern Algebra,Hudson Thomas Bryan,Advanced compulsory course,Course Study,Theory,Advanced,Major,Non-Track/Convergence,,,Grade,3.0,3.0,0.0,N,Y,"Tue09:00-10:30(E7 - 224), Thu09:00-10:30(E7 - 224)",,
180,School of Undergraduate Studies,ALL,TP406,01,Geometry of Tensors and Applications - Geometry of Tensors and Applications,"Han, Kang Jin",Advanced compulsory course,Course Study,Theory,Advanced,Major,Non-Track/Convergence,,"Bachelor of Science, Bachelor of Engineering",Grade,3.0,3.0,0.0,N,Y,"Tue13:00-14:30(E7 - L22), Thu13:00-14:30(E7 - L22)",,신규개설
181,Department of Semiconductor Engineering,ALL,SM204,01,Introduction to Semiconductor Fabrication - Device Fabrication Process for Nanotechnology,"Kwon, Hyuk Jun",Advanced compulsory course,Course Study,Theory,Advanced,Major,Major Advanced,,Bachelor of Engineering,Grade,3.0,3.0,0.0,N,Y,"Mon13:00-14:30(E7 - 229), Wed13:00-14:30(E7 - 229)",,"* 반도체공학과 학생만 수강신청 가능하며, 기초학부의 반도체공정개론(EE404)과 동일과목으로 지정하며, 교차수강 및 중복수강 불가
* 교과목 신설 시, 기초학부 기존 교과목인 반도체공정개론(공)을 기이수한 학생들은 수강이 인정됨"
182,Department of Semiconductor Engineering,ALL,SM303,01,Fundamentals of Electronic Devices - Fundamentals of Electronic Devices,Byeongmoon Lee,Advanced compulsory course,Course Study,Theory,Advanced,Major,Major Advanced,,Bachelor of Engineering,Grade,3.0,3.0,0.0,N,Y,"Tue10:30-12:00(E7 - 224), Thu10:30-12:00(E7 - 224)",(SM203a) 반도체물성 개론(공)(반),"* 반도체공학과 학생만 수강신청 가능하며, 기초학부 전자소자개론(EE302)과 동일과목으로 지정하며, 교차수강 및 중복수강 불가
* 교과목 신설 시, 기초학부 기존 교과목인 전자소자개론(공)을 기이수한 학생들은 수강이 인정됨"
183,Department of Semiconductor Engineering,ALL,SM304,01,Introduction to Electronic Circuits - Introduction to Electronic Circuits,"Lee, Jung Hyup",Advanced compulsory course,Course Study,Theory,Advanced,Major,Major Advanced,,Bachelor of Engineering,Grade,3.0,3.0,0.0,N,Y,"Tue14:30-16:00(E7 - 235), Thu14:30-16:00(E7 - 235)","(BE205) 회로이론과 계측법(이론), (BE206) 회로이론과 계측법(실습)","* 반도체공학과 학생만 수강신청 가능하며, 기초학부 전기전자트랙의 전자회로이론(EE303)과 동일과목으로 지정하며 교차수강 및 중복수강 불가
* 교과목 신설 시, 기초학부 기존 교과목인 전자회로이론(공)을 기이수한 학생들은 수강이 인정됨"
184,Department of Semiconductor Engineering,ALL,SM305,01,Semiconductor  Fabrication Lab - Semiconductor Fabrication Lab,"Jang, Jae Eun, Sanghyeon Choi",Advanced compulsory course,Course Study,Lab,Advanced,Major,Major Advanced,,Bachelor of Engineering,Grade,3.0,0.0,3.0,N,Y,Fri13:00-16:00(R6 - 208),,"* 반도체공학과 학생만 수강신청 가능하며, 기초학부의 반도체공정실습(EE405)과 동일과목으로 지정하며, 교차수강 및 중복수강 불가"
