NO,Department,Degree,Course Number,Section,Course Title,Instructor,Classification,Course Type,Theory/Lab,Course Category,Course Fields,Course Areas,Track,Degree Classification,Grade Method,Credit,Theo,Lab,Code Share,Delivered in English,Day/Time/Class Room,Prerequisite Course,Remarks
121,School of Undergraduate Studies,ALL,INT202,01,internshipⅡ - internshipⅡ,"Kim, Sohee",Advanced compulsory course,Research Study,Lab,Advanced,Field,Internship,,,S/U,1.0,0.0,1.0,N,N,Sat17:00-18:00(E7 - 241),,
122,School of Undergraduate Studies,ALL,INT203,01,internshipⅢ - internshipⅢ,"Kim, Sohee",Advanced compulsory course,Research Study,Lab,Advanced,Field,Internship,,,S/U,2.0,0.0,2.0,N,N,Sat17:00-19:00(E7 - 241),,
123,School of Undergraduate Studies,ALL,INT204,01,internshipⅣ - internshipⅣ,"Kim, Sohee",Advanced compulsory course,Research Study,Lab,Advanced,Field,Internship,,,S/U,2.0,0.0,2.0,N,N,Sat17:00-19:00(E7 - 241),,
124,School of Undergraduate Studies,ALL,INT211,01,Global InternshipⅤ - Global InternshipⅤ,"Kim, Hoe Joon",Advanced compulsory course,Research Study,Lab,Advanced,Field,Internship,,,S/U,2.0,0.0,10.0,N,N,Sat13:30-23:30(E7 - 241),,
125,School of Undergraduate Studies,ALL,INT212,01,Global InternshipⅥ - Global InternshipⅥ,"Kim, Hoe Joon",Advanced compulsory course,Research Study,Lab,Advanced,Field,Internship,,,S/U,2.0,0.0,10.0,N,N,Sat13:30-23:30(E7 - 241),,
126,School of Undergraduate Studies,ALL,INT213,01,Global InternshipⅦ - Global InternshipⅦ,"Kim, Hoe Joon",Advanced compulsory course,Research Study,Lab,Advanced,Field,Internship,,,S/U,2.0,0.0,10.0,N,N,Sat13:30-23:30(E7 - 241),,
127,School of Undergraduate Studies,ALL,INT214,01,Global InternshipⅧ - Global InternshipⅧ,"Kim, Hoe Joon",Advanced compulsory course,Research Study,Lab,Advanced,Field,Internship,,,S/U,2.0,0.0,10.0,N,N,Sat13:30-23:30(E7 - 241),,
128,School of Undergraduate Studies,ALL,INT401,01,internshipⅤ - internshipⅤ,"Kim, Sohee",Advanced compulsory course,Research Study,Lab,Advanced,Field,Internship,,,S/U,2.0,0.0,10.0,N,N,Sat13:30-23:30(E7 - 241),,
129,School of Undergraduate Studies,ALL,INT402,01,internshipⅥ - internshipⅥ,"Kim, Sohee",Advanced compulsory course,Research Study,Lab,Advanced,Field,Internship,,,S/U,2.0,0.0,10.0,N,N,Sat13:30-23:30(E7 - 241),,
130,School of Undergraduate Studies,ALL,LS203,01,Cell Biology Lab - Cell Biology Lab,"Lee, Chang-Hun, Chan Chung, Cho, Jeong A",Advanced compulsory course,Course Study,Lab,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,0.0,6.0,N,N,"Mon16:30-19:30(E4 - 225), Wed16:30-19:30(E4 - 225)","(BS114) 생명과학개론 또는 (BS116) 일반생물학Ⅰ, (BS115) 일반생물학 실험",
