course_number,section,name,professor,status,available,reason,response_bytes
HSS117,01,인간과 종교,박범석,empty,N,empty_response,0
HSS118,01,미래소양강좌,서대원,available,Y,,689
HSS120,01,진로탐색 및 전공설계 II,서대원,available,Y,,2814
HSS123,01,Korea and International Relations,윤지성,available,Y,,2213
HSS201,01,과학기술사의 주요 장면,장하원,available,Y,,4989
HSS202,01,과학철학의 쟁점,강유진,available,Y,,2688
HSS203,01,근대 사회와 사상,이원근,available,Y,,2127
HSS207a,01,커뮤니케이션 특강,미배정,empty,N,empty_response,0
HSS210,01,고전의 산책,"이정아, 배하은, 윤지성",available,Y,,5522
HSS211,01,젠더와 사회,최태섭,available,Y,,2348
HSS212,01,권리변동의 일반,함상범,available,Y,,1928
HSS213,01,영어 문학 텍스트 : 주제적 접근 읽기,이정아,available,Y,,7366
HSS218,01,세계종교입문,박범석,empty,N,empty_response,0
HSS219,01,인문학 특강Ⅰ - 한국문학과 한국사회,배하은,available,Y,,2697
HSS221,01,사회과학 특강Ⅰ - 한국 민주주의와 정당정치,윤지성,available,Y,,3504
HSS221,02,사회과학 특강Ⅰ - 인지심리학,미배정,empty,N,empty_response,0
HSS222,01,사회과학 특강Ⅱ - World Geography,미배정,available,Y,,3584
HSS222,02,사회과학 특강Ⅱ - Cultural Geography,미배정,available,Y,,3698
HSS222,03,사회과학 특강Ⅱ - 북한사회와 문화,미배정,empty,N,empty_response,0
HSS224,01,시 읽기의 즐거움,배하은,available,Y,,3003
HSS301a,01,Scientific Writing,이정아,available,Y,,6303
HSS301a,02,Scientific Writing,Benjamin Wilson Riley,available,Y,,6825
LS202,01,유전학(이),"우혜련, 이송이, 김규형, 이성배",available,Y,,1588
LS202,02,유전학(이),"우혜련, 이송이, 김규형, 이성배",available,Y,,1588
LS205,01,유전학 실험(이),"이송이, 조정아",available,Y,,2588
LS206,01,"생명분석화학(이,공)","김민식, 김유리, 김민석",available,Y,,2121
LS303b,01,정량 생명과학(이),"이창훈, 유우경",available,Y,,1349
LS307,01,분자생물학(이),"엄지원, 김진해, 이영삼",available,Y,,1334
LS309,01,생화학Ⅱ(이),정한빈,available,Y,,2767
LS311,01,생명과학과 사회(이),남창훈,available,Y,,3822
LS313a,01,분자생물학 실험(이),"이영삼, 이창훈",available,Y,,3693
LS401a,01,면역학(이),"남창훈, 최일규",available,Y,,2608
MECH203,01,동역학(공),박석호,available,Y,,1805
MECH204,01,기계열역학(공),김민수,available,Y,,2589
MECH205,01,의공학개론(공),"송석호, 노어진, 김민수, 이아형",available,Y,,2609
MECH303,01,기구학(공),윤동원,empty,N,empty_response,0
MECH307,01,"인공지능개론(이,공)",문인규,available,Y,,2013
MECH312,01,메카트로닉스(공),송철,available,Y,,3107
MECH404a,01,창의공학설계(공),"이성민, 김동욱",available,Y,,4958
MECH406,01,"기계재료학(이,공)",김봉훈,empty,N,empty_response,0
MSE302,01,"재료열역학 개론(이,공)",인수일,available,Y,,2342
MSE306a,01,"재료공학개론Ⅱ(이,공)",이신범,available,Y,,1706
MSE308,01,데이터 기반 신소재 공학(공),박인철,available,Y,,9927
MSE309,01,세라믹개론(공),이태훈,available,Y,,4412
MSE403,01,전자재료학(공),이성원,available,Y,,913
MSE404a,01,"결정학 및 회절(이,공)",김진수,empty,N,empty_response,0
PHY201a,01,"열 및 통계 물리(이,공)",박기성,available,Y,,1814
PHY203a,01,전기역학Ⅰ(이),홍정일,available,Y,,1272
PHY204,01,"해석역학Ⅱ(이,공)",서정필,available,Y,,2101
PHY301,01,응용물리 실험(이.공),"박기성, 유천열, 김영욱, 조창희",available,Y,,1591
PHY303,01,"고체물리Ⅰ(이,공)",김소연,available,Y,,1828
PHY305,01,"양자역학Ⅱ(이,공)",김아람,available,Y,,1666
PHY309,01,미분기하학과 일반상대론(이),Carlos Scarinci,available,Y,,2388
PHY407,01,"양자 컴퓨팅 개론(이,공)",권상일,available,Y,,5015
PHY409,01,입자물리개론(이),DEVECIOGLU DENIZ OLGU,available,Y,,3436
TP101,01,디자인 사고,박종래,available,Y,,3179
TP201,01,디자인 기획과 전략,박종래,available,Y,,4339
TP203,01,"소리와 음악(이,공)",이기준,available,Y,,2858
TP301,01,커뮤니케이션과 현대사회,미배정,empty,N,empty_response,0
TP305,01,게임이론,김선구,available,Y,,1198
TP313,01,위상수학개론,Hudson Thomas Bryan,available,Y,,3470
TP314,01,"생체분자역학개론(이,공)","김유리, 정소현",available,Y,,2485
